Q,A,U,T
POI_6 POI_241,POI_177,2 2,1 12
POI_6 POI_241 POI_177,POI_203,2 2 2,1 12 9
POI_177 POI_62,POI_38,6 6,1 5
POI_177 POI_62 POI_38,POI_235,6 6 6,1 5 44
POI_202 POI_65,POI_203,6 6,1 0
POI_38 POI_62,POI_179,7 7,1 21
POI_125 POI_124,POI_50,7 7,1 23
POI_65 POI_51,POI_131,8 8,1 54
POI_65 POI_51 POI_131,POI_230,8 8 8,1 54 432
POI_190 POI_230,POI_188,9 9,1 0
POI_190 POI_230 POI_188,POI_90,9 9 9,1 0 76
POI_190 POI_230 POI_188 POI_90,POI_4,9 9 9 9,1 0 76 26
POI_190 POI_230 POI_188 POI_90 POI_4,POI_124,9 9 9 9 9,1 0 76 26 15
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124,POI_136,9 9 9 9 9 9,1 0 76 26 15 19
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124 POI_136,POI_201,9 9 9 9 9 9 9,1 0 76 26 15 19 55
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124 POI_136 POI_201,POI_163,9 9 9 9 9 9 9 9,1 0 76 26 15 19 55 29
POI_202 POI_65,POI_12,10 10,1 63
POI_202 POI_65 POI_12,POI_47,10 10 10,1 63 1
POI_202 POI_65 POI_12 POI_47,POI_201,10 10 10 10,1 63 1 79
POI_95 POI_228,POI_131,11 11,1 27
POI_2 POI_65,POI_235,16 16,1 60
POI_51 POI_188,POI_189,16 16,1 0
POI_216 POI_217,POI_38,19 19,1 1
POI_241 POI_188,POI_236,21 21,1 125
POI_241 POI_188 POI_236,POI_2,21 21 21,1 125 66
POI_62 POI_213,POI_188,21 21,1 170
POI_62 POI_213 POI_188,POI_190,21 21 21,1 170 209
POI_62 POI_213 POI_188 POI_190,POI_230,21 21 21 21,1 170 209 82
POI_62 POI_213 POI_188 POI_190 POI_230,POI_97,21 21 21 21 21,1 170 209 82 87
POI_178 POI_35,POI_38,21 21,1 411
POI_178 POI_35 POI_38,POI_236,21 21 21,1 411 126
POI_178 POI_35 POI_38 POI_236,POI_177,21 21 21 21,1 411 126 49
POI_215 POI_231,POI_230,23 23,1 300
POI_215 POI_231 POI_230,POI_131,23 23 23,1 300 5
POI_215 POI_231 POI_230 POI_131,POI_57,23 23 23 23,1 300 5 56
POI_47 POI_11,POI_57,25 25,1 108
POI_190 POI_35,POI_65,29 29,1 0
POI_190 POI_35 POI_65,POI_235,29 29 29,1 0 0
POI_190 POI_35 POI_65 POI_235,POI_89,29 29 29 29,1 0 0 0
POI_14 POI_90,POI_13,29 29,1 23
POI_117 POI_37,POI_90,29 29,1 12
POI_230 POI_97,POI_99,29 29,1 0
POI_230 POI_97 POI_99,POI_231,29 29 29,1 0 1
POI_230 POI_97 POI_99 POI_231,POI_190,29 29 29 29,1 0 1 5
POI_230 POI_97 POI_99 POI_231 POI_190,POI_61,29 29 29 29 29,1 0 1 5 7
POI_230 POI_97 POI_99 POI_231 POI_190 POI_61,POI_14,29 29 29 29 29 29,1 0 1 5 7 7
POI_79 POI_95,POI_228,30 30,1 7
POI_79 POI_95 POI_228,POI_230,30 30 30,1 7 10
POI_79 POI_95 POI_228 POI_230,POI_235,30 30 30 30,1 7 10 19
POI_79 POI_95 POI_228 POI_230 POI_235,POI_38,30 30 30 30 30,1 7 10 19 60
POI_136 POI_84,POI_93,38 38,1 252
POI_188 POI_12,POI_236,39 39,1 213
POI_235 POI_177,POI_241,42 42,1 20
POI_235 POI_177 POI_241,POI_11,42 42 42,1 20 5
POI_131 POI_12,POI_165,43 43,1 15
POI_190 POI_90,POI_2,43 43,1 19
POI_136 POI_161,POI_56,43 43,1 8
POI_65 POI_90,POI_2,43 43,1 80
POI_65 POI_90 POI_2,POI_190,43 43 43,1 80 1
POI_65 POI_90 POI_2 POI_190,POI_189,43 43 43 43,1 80 1 10
POI_88 POI_130,POI_129,43 43,1 0
POI_116 POI_5,POI_164,43 43,1 124
POI_131 POI_188,POI_190,45 45,1 0
POI_131 POI_188 POI_190,POI_189,45 45 45,1 0 0
POI_131 POI_188 POI_190 POI_189,POI_165,45 45 45 45,1 0 0 0
POI_131 POI_188 POI_190 POI_189 POI_165,POI_65,45 45 45 45 45,1 0 0 0 0
POI_131 POI_188 POI_190 POI_189 POI_165 POI_65,POI_12,45 45 45 45 45 45,1 0 0 0 0 0
POI_70 POI_218,POI_185,47 47,1 2
POI_70 POI_218 POI_185,POI_228,47 47 47,1 2 0
POI_70 POI_218 POI_185 POI_228,POI_190,47 47 47 47,1 2 0 13
POI_70 POI_218 POI_185 POI_228 POI_190,POI_230,47 47 47 47 47,1 2 0 13 10
POI_70 POI_218 POI_185 POI_228 POI_190 POI_230,POI_97,47 47 47 47 47 47,1 2 0 13 10 4
POI_230 POI_93,POI_150,48 48,1 11
POI_230 POI_93 POI_150,POI_88,48 48 48,1 11 27
POI_230 POI_93 POI_150 POI_88,POI_131,48 48 48 48,1 11 27 139
POI_174 POI_162,POI_4,49 49,1 8
POI_174 POI_162 POI_4,POI_124,49 49 49,1 8 16
POI_174 POI_162 POI_4 POI_124,POI_16,49 49 49 49,1 8 16 17
POI_174 POI_162 POI_4 POI_124 POI_16,POI_17,49 49 49 49 49,1 8 16 17 53
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17,POI_159,49 49 49 49 49 49,1 8 16 17 53 2
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159,POI_160,49 49 49 49 49 49 49,1 8 16 17 53 2 4
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159 POI_160,POI_136,49 49 49 49 49 49 49 49,1 8 16 17 53 2 4 1
POI_221 POI_47,POI_189,49 49,1 22
POI_221 POI_47 POI_189,POI_97,49 49 49,1 22 53
POI_221 POI_47 POI_189 POI_97,POI_230,49 49 49 49,1 22 53 0
POI_221 POI_47 POI_189 POI_97 POI_230,POI_55,49 49 49 49 49,1 22 53 0 2
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55,POI_48,49 49 49 49 49 49,1 22 53 0 2 0
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48,POI_173,49 49 49 49 49 49 49,1 22 53 0 2 0 35
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173,POI_179,49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173 POI_179,POI_106,49 49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1 1
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173 POI_179 POI_106,POI_70,49 49 49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1 1 24
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173 POI_179 POI_106 POI_70,POI_129,49 49 49 49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1 1 24 12
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173 POI_179 POI_106 POI_70 POI_129,POI_190,49 49 49 49 49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1 1 24 12 14
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_48 POI_173 POI_179 POI_106 POI_70 POI_129 POI_190,POI_185,49 49 49 49 49 49 49 49 49 49 49 49 49,1 22 53 0 2 0 35 1 1 24 12 14 26
POI_124 POI_125,POI_4,50 50,1 224
POI_189 POI_165,POI_201,52 52,1 238
POI_190 POI_55,POI_88,57 57,1 9
POI_190 POI_55 POI_88,POI_84,57 57 57,1 9 41
POI_190 POI_55 POI_88 POI_84,POI_35,57 57 57 57,1 9 41 9
POI_51 POI_202,POI_35,58 58,1 24
POI_51 POI_202 POI_35,POI_190,58 58 58,1 24 62
POI_51 POI_202 POI_35 POI_190,POI_131,58 58 58 58,1 24 62 6
POI_51 POI_202 POI_35 POI_190 POI_131,POI_213,58 58 58 58 58,1 24 62 6 14
POI_98 POI_4,POI_124,77 77,1 155
POI_98 POI_4 POI_124,POI_65,77 77 77,1 155 7
POI_190 POI_188,POI_189,82 82,1 68
POI_150 POI_230,POI_99,82 82,1 2
POI_98 POI_135,POI_130,82 82,1 19
POI_152 POI_38,POI_84,82 82,1 216
POI_90 POI_132,POI_120,82 82,1 1
POI_4 POI_220,POI_124,83 83,1 6
POI_4 POI_220 POI_124,POI_125,83 83 83,1 6 2
POI_4 POI_220 POI_124 POI_125,POI_50,83 83 83 83,1 6 2 9
