Train,Test,U,T,Q,Q_t
POI_120,POI_188,0,1,1,0.9166666666666666
POI_190,POI_120,0,1,1,0.08333333333333333
POI_97,POI_189,1,1,1,4.683333333333334
POI_6,POI_241,2,1,1,-26.033333333333335
POI_6 POI_241,POI_177,2 2,1 12.483333333333333,1 -26.033333333333335,9.916666666666666
POI_6 POI_241 POI_177,POI_6,2 2 2,1 12.483333333333333 9.916666666666666,1 -26.033333333333335 9.916666666666666,-27.9
POI_6 POI_241 POI_177 POI_6,POI_203,2 2 2 2,1 12.483333333333333 9.916666666666666 -22.35,1 -26.033333333333335 9.916666666666666 -27.9,4.883333333333334
POI_131,POI_123,2,1,1,32.81666666666667
POI_213,POI_4,5,1,1,13.3
POI_62,POI_12,6,1,1,75.3
POI_177,POI_62,6,1,1,5.533333333333333
POI_177 POI_62,POI_38,6 6,1 5.533333333333333,1 5.533333333333333,24.083333333333332
POI_177 POI_62 POI_38,POI_235,6 6 6,1 5.533333333333333 44.88333333333333,1 5.533333333333333 24.083333333333332,1.8
POI_202,POI_65,6,1,1,0.8333333333333334
POI_202 POI_65,POI_203,6 6,1 0.8333333333333334,1 0.8333333333333334,2.9
POI_105,POI_102,6,1,1,8.366666666666667
POI_163,POI_177,6,1,1,155.23333333333332
POI_163,POI_203,6,1,1,94.81666666666666
POI_38,POI_62,7,1,1,21.45
POI_38 POI_62,POI_179,7 7,1 21.45,1 21.45,320.1166666666667
POI_125,POI_124,7,1,1,23.016666666666666
POI_125 POI_124,POI_50,7 7,1 23.016666666666666,1 23.016666666666666,60.81666666666667
POI_65,POI_51,8,1,1,54.88333333333333
POI_65 POI_51,POI_131,8 8,1 54.88333333333333,1 54.88333333333333,413.1333333333333
POI_65 POI_51 POI_131,POI_230,8 8 8,1 54.88333333333333 432.35,1 54.88333333333333 413.1333333333333,70.01666666666667
POI_190,POI_230,9,1,1,0.5166666666666667
POI_190 POI_230,POI_188,9 9,1 0.5166666666666667,1 0.5166666666666667,75.81666666666666
POI_190 POI_230 POI_188,POI_90,9 9 9,1 0.5166666666666667 76.3,1 0.5166666666666667 75.81666666666666,26.45
POI_190 POI_230 POI_188 POI_90,POI_4,9 9 9 9,1 0.5166666666666667 76.3 26.45,1 0.5166666666666667 75.81666666666666 26.45,15.816666666666666
POI_190 POI_230 POI_188 POI_90 POI_4,POI_124,9 9 9 9 9,1 0.5166666666666667 76.3 26.45 15.816666666666666,1 0.5166666666666667 75.81666666666666 26.45 15.816666666666666,19.533333333333335
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124,POI_136,9 9 9 9 9 9,1 0.5166666666666667 76.3 26.45 15.816666666666666 19.533333333333335,1 0.5166666666666667 75.81666666666666 26.45 15.816666666666666 19.533333333333335,55.13333333333333
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124 POI_136,POI_201,9 9 9 9 9 9 9,1 0.5166666666666667 76.3 26.45 15.816666666666666 19.533333333333335 55.13333333333333,1 0.5166666666666667 75.81666666666666 26.45 15.816666666666666 19.533333333333335 55.13333333333333,29.65
POI_190 POI_230 POI_188 POI_90 POI_4 POI_124 POI_136 POI_201,POI_163,9 9 9 9 9 9 9 9,1 0.5166666666666667 76.3 26.45 15.816666666666666 19.533333333333335 55.13333333333333 29.65,1 0.5166666666666667 75.81666666666666 26.45 15.816666666666666 19.533333333333335 55.13333333333333 29.65,39.583333333333336
POI_51,POI_150,9,1,1,107.76666666666667
POI_202,POI_65,10,1,1,-140.16666666666666
POI_202 POI_65,POI_12,10 10,1 63.766666666666666,1 -140.16666666666666,-340.73333333333335
POI_202 POI_65 POI_12,POI_47,10 10 10,1 63.766666666666666 1.8,1 -140.16666666666666 -340.73333333333335,79.36666666666666
POI_202 POI_65 POI_12 POI_47,POI_201,10 10 10 10,1 63.766666666666666 1.8 79.36666666666666,1 -140.16666666666666 -340.73333333333335 79.36666666666666,21.116666666666667
POI_202 POI_65 POI_12 POI_47 POI_201,POI_202,10 10 10 10 10,1 63.766666666666666 1.8 79.36666666666666 30.9,1 -140.16666666666666 -340.73333333333335 79.36666666666666 21.116666666666667,-175.75
POI_202 POI_65 POI_12 POI_47 POI_201 POI_202,POI_65,10 10 10 10 10 10,1 63.766666666666666 1.8 79.36666666666666 30.9 -175.75,1 -140.16666666666666 -340.73333333333335 79.36666666666666 21.116666666666667 -175.75,-140.16666666666666
POI_95,POI_228,11,1,1,27.15
POI_95 POI_228,POI_131,11 11,1 27.15,1 27.15,6.533333333333333
POI_236,POI_38,14,1,1,1.75
POI_2,POI_65,16,1,1,60.016666666666666
POI_2 POI_65,POI_235,16 16,1 60.016666666666666,1 60.016666666666666,0.016666666666666666
POI_51,POI_188,16,1,1,0.016666666666666666
