Q,A,U,T
POI_1 POI_7,POI_6,0 0,1 12
POI_18 POI_6,POI_1,1 1,1 7
POI_7 POI_22,POI_19,4 4,1 22
POI_1 POI_22,POI_7,4 4,1 6
POI_1 POI_22 POI_7,POI_18,4 4 4,1 6 11
POI_1 POI_22 POI_7 POI_18,POI_19,4 4 4 4,1 6 11 19
POI_3 POI_20,POI_12,4 4,1 12
POI_3 POI_20 POI_12,POI_17,4 4 4,1 12 3
POI_3 POI_20 POI_12 POI_17,POI_1,4 4 4 4,1 12 3 0
POI_18 POI_1,POI_17,4 4,1 96
POI_18 POI_1 POI_17,POI_20,4 4 4,1 96 30
POI_17 POI_20,POI_1,4 4,1 9
POI_19 POI_1,POI_17,4 4,1 99
POI_13 POI_20,POI_3,4 4,1 87
POI_19 POI_18,POI_7,4 4,1 10
POI_19 POI_18 POI_7,POI_21,4 4 4,1 10 2
POI_13 POI_3,POI_12,4 4,1 3
POI_18 POI_6,POI_7,4 4,1 12
POI_18 POI_6 POI_7,POI_12,4 4 4,1 12 1
POI_18 POI_6 POI_7 POI_12,POI_19,4 4 4 4,1 12 1 65
POI_19 POI_12,POI_13,4 4,1 12
POI_17 POI_13,POI_3,4 4,1 9
POI_17 POI_13 POI_3,POI_9,4 4 4,1 9 3
POI_6 POI_7,POI_1,4 4,1 7
POI_6 POI_7 POI_1,POI_22,4 4 4,1 7 2
POI_6 POI_7 POI_1 POI_22,POI_17,4 4 4 4,1 7 2 19
POI_9 POI_17,POI_12,9 9,1 63
POI_9 POI_17 POI_12,POI_1,9 9 9,1 63 1
POI_6 POI_7,POI_1,12 12,1 9
POI_1 POI_17,POI_12,18 18,1 24
POI_1 POI_17 POI_12,POI_20,18 18 18,1 24 72
POI_1 POI_17 POI_12 POI_20,POI_6,18 18 18 18,1 24 72 25
POI_1 POI_17,POI_7,22 22,1 12
POI_1 POI_17 POI_7,POI_3,22 22 22,1 12 231
POI_6 POI_7,POI_1,24 24,1 35
POI_6 POI_7 POI_1,POI_17,24 24 24,1 35 49
POI_6 POI_17,POI_7,29 29,1 113
POI_4 POI_1,POI_18,29 29,1 129
POI_6 POI_7,POI_20,29 29,1 14
POI_3 POI_9,POI_20,29 29,1 22
POI_1 POI_17,POI_12,30 30,1 3
POI_1 POI_7,POI_19,32 32,1 263
POI_18 POI_6,POI_7,42 42,1 2
POI_1 POI_6,POI_22,47 47,1 79
POI_7 POI_6,POI_18,67 67,1 6
POI_7 POI_6 POI_18,POI_3,67 67 67,1 6 18
POI_20 POI_18,POI_6,68 68,1 23
POI_20 POI_18 POI_6,POI_7,68 68 68,1 23 11
POI_20 POI_18 POI_6 POI_7,POI_1,68 68 68 68,1 23 11 3
POI_20 POI_18 POI_6 POI_7 POI_1,POI_17,68 68 68 68 68,1 23 11 3 12
POI_20 POI_18 POI_6 POI_7 POI_1 POI_17,POI_13,68 68 68 68 68 68,1 23 11 3 12 149
POI_4 POI_9,POI_12,68 68,1 5
POI_4 POI_9 POI_12,POI_17,68 68 68,1 5 8
POI_22 POI_15,POI_21,69 69,1 0
POI_9 POI_4,POI_3,69 69,1 102
POI_17 POI_1,POI_7,69 69,1 33
POI_3 POI_20,POI_17,69 69,1 20
POI_7 POI_6,POI_1,69 69,1 35
POI_7 POI_6 POI_1,POI_22,69 69 69,1 35 3
POI_3 POI_20,POI_4,69 69,1 0
POI_17 POI_6,POI_7,69 69,1 399
POI_3 POI_13,POI_7,69 69,1 104
POI_3 POI_20,POI_1,69 69,1 335
POI_9 POI_3,POI_13,69 69,1 14
POI_6 POI_1,POI_17,69 69,1 375
POI_6 POI_7,POI_20,84 84,1 56
POI_6 POI_7 POI_20,POI_17,84 84 84,1 56 39
POI_6 POI_7 POI_20 POI_17,POI_3,84 84 84 84,1 56 39 5
POI_6 POI_7 POI_20 POI_17 POI_3,POI_13,84 84 84 84 84,1 56 39 5 30
POI_6 POI_7 POI_20 POI_17 POI_3 POI_13,POI_12,84 84 84 84 84 84,1 56 39 5 30 139
POI_6 POI_7 POI_20 POI_17 POI_3 POI_13 POI_12,POI_1,84 84 84 84 84 84 84,1 56 39 5 30 139 3
POI_6 POI_7 POI_20 POI_17 POI_3 POI_13 POI_12 POI_1,POI_22,84 84 84 84 84 84 84 84,1 56 39 5 30 139 3 69
POI_8 POI_6,POI_17,84 84,1 72
POI_8 POI_6 POI_17,POI_13,84 84 84,1 72 327
POI_8 POI_6 POI_17 POI_13,POI_7,84 84 84 84,1 72 327 81
